ID,prediction
1,0.52992624
2,0.13107759
3,0.38702616
4,-0.029180987
5,0.27399218
6,0.035919063
7,-0.28797042
8,0.21108666
9,-0.1909382
10,0.17862807
11,-0.100379944
12,0.11460961
13,0.6193101
14,-0.2593923
15,0.2933622
16,-0.0029379984
17,0.57043153
18,0.20562477
19,-0.1969631
20,-0.7156352
21,0.5365743
22,0.25708246
23,0.21651366
24,0.13407499
25,0.24926658
26,0.036516953
27,0.31087852
28,0.1847936
29,-0.5631939
30,0.29723856
31,0.40685746
32,0.45064774
33,0.10015679
34,0.17861962
35,0.24905059
36,0.12647113
37,0.15681398
38,0.16220137
39,0.4229568
40,-0.29045826
41,0.03667294
42,0.35028598
43,0.40549657
44,0.01962986
45,0.33916464
46,-0.058795147
47,0.6649302
48,2.0181484
49,0.8290161
50,0.26606083
51,0.6832597
52,0.3641116
53,0.2529035
54,-0.12728138
55,-0.17418754
56,-0.03076062
57,0.4946754
58,-0.33301586
59,0.39445326
60,0.4810511
61,0.25936803
62,0.19565977
63,0.11049005
64,-0.35898802
65,0.2336365
66,0.0045684036
67,0.33717117
68,0.5285816
69,0.06159215
70,0.09130856
71,1.1522222
72,0.5730165
73,0.39899743
74,0.8093832
75,0.16923021
76,0.2350485
77,0.31368887
78,-0.18064894
79,0.10452471
80,0.30340165
81,0.16660228
82,0.31079432
83,-0.052852366
84,0.04072207
85,0.84355557
86,0.20797871
87,0.11457823
88,0.20172185
89,0.50173116
90,0.09241735
91,0.25741878
92,0.22440515
93,0.48432976
94,0.05747137
95,0.631889
96,-0.043726236
97,0.55371135
98,0.055584893
99,0.34007612
100,-0.26163107
101,-0.21946646
102,0.22426808
103,0.5445687
104,-0.3304118
105,0.53703874
106,0.4788289
107,-0.4045448
108,0.2190927
109,0.33758953
110,0.2307004
111,-0.19639973
112,0.31310096
113,-0.08006872
114,0.25070858
115,0.67797977
116,-0.47568753
117,0.2733823
118,0.1566097
119,0.063593045
120,0.5813871
121,0.3325831
122,0.37185925
123,0.2809568
124,0.2676976
125,-0.06784546
126,0.5029649
127,-0.5603141
128,0.033674013
129,0.044504702
130,-0.18956433
131,0.13839324
132,-0.006713954
133,0.03336311
134,1.1793183
135,0.16706659
136,0.21559358
137,0.15725484
138,0.06320089
139,0.3235319
140,0.46893528
141,0.108805895
142,0.3465405
143,0.42767638
144,0.06071436
145,-0.072668865
146,0.29385307
147,0.4129677
148,-0.04591017
149,0.040309556
150,0.16923614
151,0.5587189
152,0.32807052
153,0.2480351
154,0.26487485
155,0.06781195
156,0.26410118
157,0.48649225
158,0.27778637
159,0.058368538
160,-0.30829072
161,0.56378627
162,-0.0050146
163,0.23730004
164,0.40705448
165,0.39906362
166,0.1222705
167,0.32049423
168,0.11891821
169,0.017862476
170,0.58262146
171,0.3629011
172,0.09313682
173,0.40920705
174,0.34491095
175,0.24706374
176,0.5464475
177,0.8607602
178,0.22824086
179,-0.03698346
180,0.007999637
181,0.35402986
182,0.70040685
183,0.13297829
184,0.16919999
185,0.09588733
186,0.28624803
187,0.59558165
188,0.12430013
189,0.21796647
190,0.17413445
191,0.14777145
192,0.40329564
193,0.46328694
194,0.45962712
195,0.23155275
196,-0.0036898488
197,1.362683
198,0.18784627
199,0.017211989
200,-1.0374589
201,0.3108431
202,0.15410899
203,0.37226015
